反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
小黃瓜(Na),16,0.08,4.36,1,0.01,7.61,3.9,0,30,21,151632,93826,1,0.000,99.716
黃瓜(Na),10,0.05,4.16,1,0.01,5.8,3.8,0,30,22,61527,57995,3,0.000,97.030
胡瓜(Na),1,0.01,2.84,0,0.00,0,2.0,5,30,23,64516,57995,3,0.000,97.213
茄子(Na),24,0.12,4.5,1,0.01,9.39,3.7,4,30,24,42307,39808,6,0.000,95.327
蘿蔔(Na),24,0.12,6.01,6,0.03,7.49,3.7,20,30,25,14816,14812,26,0.001,88.354
芹菜(Na),22,0.11,4.39,5,0.03,4.54,3.3,0,30,26,47768,44359,5,0.000,95.928
地瓜葉(Na),21,0.10,4.02,0,0.00,0,4.5,0,30,27,na,na,na,na,na
萵苣(Na),19,0.10,3.41,3,0.02,3.52,3.6,0,30,28,75735,70282,2,0.000,97.791
豆芽菜(Na),12,0.06,4.64,1,0.01,5.98,4.2,0,30,29,66200,57995,3,0.000,97.317
豆芽菜(Na),9,0.05,4.99,1,0.01,5.98,3.7,0,30,30,66200,57995,3,0.000,97.317
豆芽(Na),3,0.02,3.59,0,0.00,0,5.7,6,30,31,137476,93826,1,0.000,99.426
白蘿蔔(Na),12,0.06,4.15,0,0.00,0,4.1,2,30,32,na,na,na,na,na
白蘿蔔(Na),10,0.05,3.94,0,0.00,0,4.0,2,30,33,na,na,na,na,na
菜頭(Na),2,0.01,5.17,0,0.00,0,4.5,1,30,34,46088,44359,5,0.000,95.756
玉米(Na),9,0.05,4.46,0,0.00,0,4.4,8,30,35,14333,14008,28,0.001,88.086
健康(Na),9,0.05,3.13,1,0.01,7.42,3.7,361,30,36,na,na,na,na,na
蕃薯葉(Na),7,0.04,5.56,0,0.00,0,5.4,0,30,37,na,na,na,na,na
青菜(Na),7,0.04,4.64,5,0.03,5.38,1.3,6,30,38,8267,8190,55,0.001,83.278
蔥(Na),6,0.03,3.31,0,0.00,0,5.0,0,30,39,21280,21145,16,0.000,91.106
芥藍菜(Na),6,0.03,6.52,0,0.00,0,5.0,0,30,40,132899,93826,1,0.000,99.332
芥藍菜(Na),3,0.02,6.26,0,0.00,0,4.7,0,30,41,132899,93826,1,0.000,99.332
芥蘭(Na),1,0.01,8.25,0,0.00,0,5.0,0,30,42,132898,93826,1,0.000,99.332
芥蘭菜(Na),1,0.01,7.55,0,0.00,0,7.0,0,30,43,na,na,na,na,na
芥藍(Na),1,0.01,4.52,0,0.00,0,4.0,0,30,44,na,na,na,na,na
茼蒿(Na),5,0.03,6.02,0,0.00,0,4.4,0,30,45,na,na,na,na,na
油菜(Na),5,0.03,5.58,0,0.00,0,4.4,2,30,46,84148,70282,2,0.000,98.136
營養(Na),5,0.03,3.99,2,0.01,5.56,3.4,95,30,47,3385,3385,160,0.003,74.158
龍鬚菜(Na),5,0.03,8.05,0,0.00,0,5.0,0,30,48,na,na,na,na,na
地瓜(Na),5,0.03,2.16,0,0.00,0,6.4,0,30,49,16172,15761,24,0.000,89.049
辣椒(Na),5,0.03,3.79,0,0.00,0,6.0,2,30,50,18132,18032,20,0.000,89.932
洋蔥(Na),5,0.03,4.85,0,0.00,0,5.0,7,30,51,26701,25841,12,0.000,92.653
苦瓜(Na),5,0.03,2.95,0,0.00,0,4.4,3,30,52,19865,19413,18,0.000,90.608
冬瓜(Na),5,0.03,3.77,1,0.01,5.28,5.0,1,30,53,43622,39808,6,0.000,95.489
綠色(Na),5,0.03,3.59,1,0.01,3.34,3.6,57,30,54,4186,4183,124,0.003,76.470
生菜(Na),4,0.02,5.45,0,0.00,0,4.0,1,30,55,43446,39808,6,0.000,95.467
南瓜(Na),4,0.02,3.57,0,0.00,0,4.8,5,30,56,47648,44359,5,0.000,95.916
芋頭(Na),4,0.02,4.77,0,0.00,0,5.3,1,30,57,42943,39808,6,0.000,95.405
蒜(Na),4,0.02,3.18,0,0.00,0,6.0,0,30,58,34013,33467,8,0.000,94.140
紅菜(Na),4,0.02,8.82,0,0.00,0,4.0,0,30,59,na,na,na,na,na
絲瓜(Na),4,0.02,2.37,0,0.00,0,5.5,4,30,60,34393,33467,8,0.000,94.203
馬鈴薯(Na),4,0.02,4.62,0,0.00,0,4.8,11,30,61,37972,36388,7,0.000,94.757
韭菜(Na),4,0.02,5.46,1,0.01,7.52,4.0,2,30,62,54215,50049,4,0.000,96.503
包心菜(Na),4,0.02,4.68,0,0.00,0,2.3,0,30,63,na,na,na,na,na
莧菜(Na),4,0.02,5.93,0,0.00,0,4.3,0,30,64,78970,70282,2,0.000,97.923
球鞋(Na),101,0.50,4.03,25,0.12,5.97,3.1,4,31,1,32046,31067,9,0.000,93.789
球鞋(Na),58,0.29,3.92,15,0.08,5.98,3.0,4,31,2,32046,31067,9,0.000,93.789
運動鞋(Na),43,0.21,4.17,10,0.05,5.95,3.3,3,31,3,40845,39808,6,0.000,95.147
高跟鞋(Na),94,0.47,4.77,22,0.11,6.2,3.4,5,31,4,19023,18703,19,0.000,90.290
高跟鞋(Na),93,0.46,4.79,22,0.11,6.2,3.4,5,31,5,19023,18703,19,0.000,90.290
高跟(Na),1,0.01,3.31,0,0.00,0,2.0,0,31,6,na,na,na,na,na
長襪(Na),79,0.39,4.15,17,0.09,5.59,3.4,0,31,7,65277,57995,3,0.000,97.260
長襪(Na),60,0.30,3.91,15,0.08,5.39,3.4,0,31,8,65277,57995,3,0.000,97.260
長筒襪(Na),16,0.08,4.66,2,0.01,7.13,3.4,1,31,9,na,na,na,na,na
